FIPS,CITY_ID,Unemployment rate,Female headed households,High school grads,Poverty rate,White,Hispanic,Minority,Racial heterogeneity,Foreign born,Low wage jobs,High wage jobs,Population density,"Developed land, low intensity","Developed land, medium intensity","Developed land, high intensity",Under 18,18 to 24,25 to 34,35 to 44,45 to 54,55 to 64,65 and older,Family households,Non-family households,Group quarters,Full-service restaurants,Limited service (fast food),Coffee shops,Bars,Performing arts organizations,Spectator sports organizations,"Museums, historical sites",Libraries,Casinos,"Golf, skiing, boating, fitness, bowling, other","Gyms, fitness centers",Grocery stores,Specialty food stores,Supercenters,Redlining,Housing units,Occupied housing units,Owner occupied housing units,Renters,Vacant housing,Foreclosure rate,Law enforcement,Loan applications - Refinancing,Loan applications - owner occupancy,Loan applications - non-owner occupancy,Loan applications - conventional,Loan applications - FHA,Loan applications - VA,Barber shops,Beauty salons,Nail salons,Diet/weight loss centers,Other personal care,Laundromats,Polluting sites,Religious sites,Civic/social organizations,Non-recreation child/youth services,Elderly/disability services,Other individual/family services,Temporary shelters,Emergency relief services,Vocational rehabilitation services,Day care services,"Commuting - car, truck, van",Commuting - public transportation,Commuting - motorcylce,Commuting - bicycle,Commuting - walking,Commuting - other,Commuting - WFM,Average work commute,Average household size,Median year structure built
39153501100,"(01) Akron, OH",21.575984954834,32.228359222412,67.25571441651,29.2015209198,37.06847763062,3.056027173996,57.27221298218,0.5665234327316,2.716468572617,32.009346008301,15.186916351318,2102.961475711052,595800,552600,271800,422,271,251,138,148,150,102,74.52440033085195,25.475599669148057,22.58064516129032,3.570393,0,0,1.190131,2.380262,0,0,0,0,0,0,0,0,0,57.827805,7.36691088548467,6.3433982261120025,1.4638611291027699,71.08655548096,20.960699081421,14.5395803452,2.380262,4,12,2,14,1,0,0,1.190131,0,0,0,0,0,4.608295,4.608295,0,0.5760369,2.304147,0,0,0,0,98.581560283687935,1.4184397163120568,0,0,0,0,0,24,2.41,1951
39153501700,"(01) Akron, OH",17.624021530151,20.879121780396,79.29412078858,75.34351348877,58.31517791749,3.050108909607,35.58460617067,0.550828576088,4.938271522522,35.182250976563,5.388272762299,9571.0268743682,110700,195300,44100,88,1024,173,65,40,41,17,23.661971830985916,76.33802816901408,1.971830985915493,6.950637,6.950637,6.950637,0,0,0,0,0,0,6.950637,0,0.6640106,0,0,2.1181734,47.82038118783821,35.23972857882845,3.1277865602510455,89.89010620118,28.683385848999,4.3604650497,0,9,5,10,14,1,0,0,0,0,0,0,0,1,0,0.6640106,0,0,1.992032,0,0,0,0,89.75206611570248,0,0,0,7.2727272727272725,0,2.975206611570248,16,2.88,1939
39153501800,"(01) Akron, OH",9.750566482544,40.144229888916,94.15929412842,48.202136993408,6.70553922654,2.915452003479,93.29445648194,0.1778171211481,0,27.135679244995,16.582914352417,3727.4250011262443,292500,302400,42300,328,109,109,149,130,95,134,86.32887189292543,13.671128107074571,0.7648183556405354,3.622376,3.622376,0,3.622376,3.622376,0,0,3.622376,0,0,0,0,0,0,56.043522,17.749642862505926,13.765029158678065,6.375381926124578,40.625,16.633266448975,14.2857141495,0,2,5,1,5,1,0,0,0,0,0,0,0,0,5.899705,0.9832842,0,0,0,0,0,0,3.933137,69.54177897574124,21.293800539083556,0,0,1.8867924528301887,0,7.277628032345014,25,2.44,1939
39153501900,"(01) Akron, OH",11.282051086426,30.541454315186,73.45013427735,55.339420318604,22.54862976075,4.56530380249,72.29058837891,0.4860082864761,6.192933559418,35.082874298096,12.430939674377,6771.684785033119,459000,378900,56700,704,227,308,220,314,352,340,70.51975051975052,29.480249480249483,2.494802494802495,2.688243,0,0,0,5.376487,0,0,0,0,0,0,0,0,0,11.433694,35.404163802654296,31.775035394637342,7.957200064985324,78.9340133667,10.250569343567,9.1116170883,0,21,29,3,28,2,2,0,8.064731,0,0,0,0,1,1.738375,0,0,0,0,0,0,0,0,85.77712609970675,11.29032258064516,0,0,0,0,2.932551319648094,23,2.12,1974
39153502102,"(01) Akron, OH",14.838394165039,10.538752555847,84.59658050538,17.611791610718,70.20957946778,2.445109844208,28.14371299744,0.4402618408203,9.431138038635,16.157690048218,20.599666595459,2800.6624374356575,936000,1170000,1094400,752,358,589,512,644,602,745,68.532634587899,31.467365412101,0.09528346831824679,4.891376,2.096304,2.096304,2.096304,0.6987681,0,0.6987681,0.6987681,0,0,0,0.4293689,1.288106,0.2146844,0,16.73549535343912,15.198205592371647,5.869651814984911,53.35538864136,12.850082397461,13.3611688614,0,62,89,7,73,18,5,0,4.891376,2.096304,0.6987681,2.096304,1.397536,0,1.073422,0,0,0,0.6440532,0,0,0,0.4293689,89.42905596382137,3.165630299604296,0,1.2436404748445449,3.900508762012436,0,2.2611644997173546,24,1.89,1968
39153502200,"(01) Akron, OH",17.935701370239,12.555690765381,80.19696807862,32.766033172607,61.4090423584,6.869961261749,28.00560760499,0.5656111240387,16.45636177063,24.571708679199,12.041115760803,3374.021724945331,1152900,1478700,783000,1242,553,862,748,884,644,709,75.36284470246734,24.637155297532658,2.358490566037736,2.956556,2.365245,0,6.504424,0.5913112,0,0,0.5913112,0,4.139179,2.365245,1.072304,0.3063726,0,0.77606803,15.97722870803064,13.783464144492754,7.314519582469987,52.81490325928,10.381125450134,13.6935606003,0.5913112,67,86,21,75,25,7,0,2.365245,0.5913112,0,2.956556,0,1,1.685049,0.9191176,0,0,0.1531863,0,0,0.1531863,0.3063726,91.2456228114057,4.052026013006503,0,0,0.80040020010005,1.1005502751375689,2.8014007003501753,25,2.25,1943
39153502500,"(01) Akron, OH",30.038022994995,29.76939201355,78.44940948487,50.135501861572,50.89126586915,1.158645272255,37.34402847291,0.5960946083069,0,23.91304397583,11.141304016113,1868.9702248176889,432000,510300,323100,341,119,146,152,191,113,122,73.33916083916084,26.66083916083916,3.4965034965034967,0,0,0,1.665749,0,0,0,1.665749,0,1.665749,1.665749,0,0,0,5.5543771,10.377615419442247,7.912307101500911,2.565253249749769,71.6981124878,31.26801109314,17.6564998627,1.665749,3,4,0,4,0,0,0,3.331498,0,0,1.665749,0,3,8.928572,0,0,1.785714,3.571429,0,0,0,0.8928571,82.07282913165265,14.285714285714285,0,0,3.361344537815126,0,0.2801120448179272,25,2.31,1939
39153503100,"(01) Akron, OH",23.928215026855,31.358381271362,76.98081970215,48.879119873047,62.76922988892,0.747252762318,16.43955993653,0.5576173067093,9.626373291016,36.582279205322,5.822784900665,9113.300673870455,159300,349200,109800,586,246,289,243,260,167,120,79.3825222396651,20.617477760334904,0,0,0,0,4.005847,0,0,0,0,0,0,0,0,0.5834306,0,0.12153064,36.172793443978115,27.640340505365337,10.77572695064243,59.10404586792,27.539266586304,19.933555603,0,12,10,8,16,2,0,8.011693,0,4.005847,0,0,4.005847,0,2.333722,0,0,0,1.750292,0,0,0,0,94.49423815620999,1.6645326504481435,0,0,1.1523687580025608,1.2804097311139564,1.4084507042253522,19,3.27,1939
39153503200,"(01) Akron, OH",16.276477813721,35.822959899902,77.27272796631,39.750907897949,31.5273475647,0,56.9143447876,0.5682073235512,2.528379678726,24.934383392334,11.023622512817,5020.571403904147,452700,375300,60300,527,176,234,230,258,201,203,85.93576965669989,14.06423034330011,1.273532668881506,2.590594,0,0,0,0,0,0,0,0,0,0,0.5627462,0,0,15.062604,22.564074782252383,16.709332071817204,9.455668536764776,44.53665161133,20.983606338501,16.0734786987,0,10,17,3,18,2,0,0,2.590594,0,0,0,0,0,2.813731,0,0,0,0.5627462,0,0,0,0,88.13793103448276,9.10344827586207,0,0,0,2.7586206896551726,0,20,2.67,1939
39153503400,"(01) Akron, OH",30.225080490112,40.363636016846,72.7175064087,47.174446105957,14.00304412842,7.990867614746,85.99695587159,0.3655110895634,1.293759465218,48.156681060791,2.304147481918,3225.827062726624,389700,397800,222300,417,154,187,183,211,165,161,82.89855072463767,17.101449275362317,7.101449275362319,2.454967,0,0,0,0,0,0,0,0,2.454967,2.454967,1.362398,0,0,42.137787,16.521930085350213,12.864028773734788,5.155431378786842,77.27272796631,24.24242401123,13.3729572296,0,3,3,2,4,1,0,2.454967,2.454967,0,0,0,0,1,5.449591,2.043597,0,0,3.405994,0,0,0,2.043597,77.46478873239437,22.535211267605636,0,0,0,0,0,17,2.21,1939
39153503500,"(01) Akron, OH",26.36619758606,32.686981201172,75.5401916504,47.853076934814,34.69072341919,7.65463924408,49.8969078064,0.6813688874245,4.25257730484,26.459718704224,5.691056728363,4661.4607600007885,738900,831600,220500,1073,403,419,448,553,428,415,81.05065666041276,18.94934333958724,0.21441972661484857,1.201407,1.201407,0,4.80563,3.604222,0,0,0,0,1.201407,0,0.3046922,0,0,16.810261,20.98858749412726,18.585772669384585,9.250837075259296,46.81440353394,12.53785610199,8.0137376785,0,23,29,3,24,8,0,0,6.007037,0,0,0,0,2,3.656307,0.9140768,0,0.3046922,0.6093845,0,0,0,1.218769,92.2239502332815,5.209953343701399,0,0,0,0,2.5660964230171075,21,2.68,1952
39153503800,"(01) Akron, OH",29.097221374512,38.5432472229,86.55043792725,45.064498901367,60.51310729981,2.704963684082,31.76240921021,0.5426844358444,0.752928078175,36.415634155273,12.011439323425,1160.740568693964,2082600,1753200,1345500,1329,531,506,420,445,362,310,83.8974358974359,16.102564102564102,0.07692307692307693,1.68691,1.968061,0,2.249213,0.8434549,0.5623032,0,0,0,0.5623032,0.2811516,0.2557545,1.278772,0,0,4.932985573590633,4.408613091358558,1.3076943384059156,65.25038146973,14.415584564209,10.4986877441,0,45,57,5,41,20,1,0,0.8434549,0,0,1.124606,0.8434549,3,1.534527,1.790281,0,0,0.2557545,0,0,0,0.2557545,91.53976311336717,2.8764805414551606,0,1.6074450084602367,3.2994923857868024,0,0.676818950930626,20,2.66,1971
39153504100,"(01) Akron, OH",40.344825744629,14.253394126892,62.40000152588,61.096374511719,54.02298736573,0,23.25375747681,0.6143605113029,21.22015953064,39.884391784668,6.936416149139,3539.8810165540203,243900,349200,196200,204,523,164,105,95,76,55,48.44517184942717,51.55482815057283,0,3.129869,12.51947,0,0,0,0,0,0,0,0,0,0,0,0,12.369061,19.060897781444723,14.960770344056778,3.4741537828249007,87.10407257081,23.924268722534,16.4203605652,0,3,3,3,5,1,0,0,3.129869,0,0,6.259737,0,0,3.813883,0,0,0,1.525553,0,0,0,1.525553,83.52601156069365,7.514450867052023,0,0,0,0,8.959537572254336,18,2.56,1945
39153504200,"(01) Akron, OH",24.12935256958,18.170425415039,54.4161682129,50.178253173828,62.79878234864,3.433289766312,34.37635803223,0.5083703398705,3.085614919662,22.953451156616,5.457463741302,7374.299679068026,265500,367200,135900,515,384,339,234,238,172,95,72.26542249870398,27.73457750129601,2.488335925349922,0,9.614471,0,9.614471,3.204824,0,0,0,0,3.204824,0,0.5307856,1.061571,0,41.042912,30.285585383395414,23.363165867190745,6.858323039202771,76.19047546387,16.439790725708,16.9312171936,0,8,5,9,14,0,0,0,3.204824,0,0,0,0,0,3.184713,0.5307856,0,0,0.5307856,0,0,0,0.5307856,94.43447037701975,4.129263913824058,0,0,1.436265709156194,0,0,24,2.85,1939
39153504400,"(01) Akron, OH",26.879999160767,30.536912918091,90.72398376465,42.259414672852,36.54114532471,0.488145053387,59.13528442383,0.5217374563217,2.09205031395,18.763326644897,17.484008789063,6396.111198646547,243000,237600,75600,393,163,213,229,224,148,121,79.97256515775034,20.027434842249658,2.263374485596708,0,0,0,0,0,0,0,4.460329,0,0,0,0.7830853,0,0,34.587105,31.133093561055016,24.442600675441476,9.188276896242598,55.87248229981,20.849933624268,31.5186252594,0,6,5,5,9,1,0,0,13.38099,0,0,0,0,2,3.132341,4.698512,0,0,2.349256,0,0,0,0.7830853,94.45628997867804,4.690831556503198,0,0,0.8528784648187633,0,0,20,2.38,1940
39153504600,"(01) Akron, OH",24.436319351196,26.400560379028,79.67742156983,43.482089996338,52.49559783936,1.262477993965,41.3681755066,0.5600573420525,0.293599516153,34.844867706299,17.979316711426,6821.2862950692215,389700,704700,154800,853,393,487,436,442,394,371,77.13270142180096,22.86729857819905,0,0,0,0,2.002727,0,0,0,0,0,2.002727,0,0.309119,0.309119,0,36.925446,33.74594071400951,28.178361177810906,14.459684982501404,55.2521018982,16.588785171509,18.3976268768,0,19,35,10,34,11,0,2.002727,0,2.002727,0,2.002727,0,0,1.854714,0.309119,0,0,0,0,0,0,0,97.5669099756691,0.48661800486618007,0,0,0.32441200324412006,0,1.6220600162206,20,2.39,1939
39153505300,"(01) Akron, OH",25.521669387817,39.880950927734,85.97997283936,58.64714050293,24.80836296082,3.066202163696,63.20557403565,0.563760638237,0.55749130249,28.433269500732,6.576402187347,4311.4438256510975,342000,289800,106200,649,248,231,214,206,143,100,83.68176538908246,16.318234610917536,4.006968641114982,0,0,0,12.01796,0,0,0,0,0,0,0,0.6161429,0.6161429,0,3.5967653,25.448034287989405,19.22873901335681,4.476690801547132,66.81547546387,18.938480377197,9.4451007843,0,6,6,5,10,1,0,0,0,0,0,0,3.004491,0,3.696858,1.232286,0,0,1.232286,0,0,0,0,84.13926499032883,9.864603481624759,0,0,5.996131528046422,0,0,21,2.13,1945
39153505600,"(01) Akron, OH",29.805995941162,28.119180679321,68.359375,55.919002532959,57.86604309083,1.947040557861,34.03426742554,0.5552535057068,1.947040557861,18.625276565552,2.660753965378,2851.226074510416,414900,441900,169200,430,153,163,173,202,158,115,81.49210903873745,18.507890961262554,0,0,0,0,2.220581,0,0,0,0,0,2.220581,2.220581,1.651528,0,0,40.222256,16.56553466966332,11.613638917203641,4.8186608891648,56.7970199585,35.611511230469,18.7667560578,0,5,12,0,9,2,1,0,2.220581,0,0,0,0,1,5.780347,0,0,0,0.8257639,0,0,0,0,86.91796008869179,8.869179600886918,0,0,4.212860310421286,0,0,19,2.39,1939
39153505700,"(01) Akron, OH",16.51943397522,14.567668914795,68.56491851807,37.988040924072,82.72950744629,2.215969085693,15.75800228119,0.2966248393059,0.73865634203,31.822862625122,2.471678733826,5677.683081367002,241200,767700,269100,790,265,456,376,415,316,219,81.42403947832217,18.57596052167783,0,3.994149,0,1.997075,3.994149,3.994149,3.994149,1.997075,3.994149,0,1.997075,1.997075,1.226492,0,0,0,25.742291564833153,21.748142369358654,11.443237445034443,54.22932434083,18.840579986572,33.3591918946,0,25,33,12,34,9,2,1.997075,5.991224,0,0,5.991224,0,1,2.861815,0.8176615,0,0.4088307,0,0,0,0,0.4088307,83.36909871244636,10.622317596566523,0,0,1.0729613733905579,1.6094420600858368,3.3261802575107295,19,2.67,1939
39153506500,"(01) Akron, OH",27.041198730469,38.554218292236,85.2992477417,39.184841156006,12.18993663788,0,86.14457702637,0.2428948879242,0.744153082371,44.297351837158,3.767820835114,6398.273383039656,503100,501300,62100,952,275,353,398,381,344,262,85.21532722956935,14.784672770430655,0.5425567989148864,2.267283,0,0,0,4.534567,0,0,0,0,2.267283,0,0.3527337,0,0,0,32.12740391129409,24.600023460659205,12.424712310084095,59.96292877198,23.31201171875,35.2858161927,0,14,25,4,21,7,1,2.267283,2.267283,0,0,0,0,0,3.88007,0.7054673,0,0.7054673,1.763668,0,0,0,0.3527337,79.20685959271168,20.79314040728832,0,0,0,0,0,21,2.59,1939
