FIPS,CITY_ID,Unemployment rate,Female headed households,High school grads,Poverty rate,White,Hispanic,Minority,Racial heterogeneity,Foreign born,Low wage jobs,High wage jobs,Population density,"Developed land, low intensity","Developed land, medium intensity","Developed land, high intensity",Under 18,18 to 24,25 to 34,35 to 44,45 to 54,55 to 64,65 and older,Family households,Non-family households,Group quarters,Full-service restaurants,Limited service (fast food),Coffee shops,Bars,Performing arts organizations,Spectator sports organizations,"Museums, historical sites",Libraries,Casinos,"Golf, skiing, boating, fitness, bowling, other","Gyms, fitness centers",Grocery stores,Specialty food stores,Supercenters,Redlining,Housing units,Occupied housing units,Owner occupied housing units,Renters,Vacant housing,Foreclosure rate,Law enforcement,Loan applications - Refinancing,Loan applications - owner occupancy,Loan applications - non-owner occupancy,Loan applications - conventional,Loan applications - FHA,Loan applications - VA,Barber shops,Beauty salons,Nail salons,Diet/weight loss centers,Other personal care,Laundromats,Polluting sites,Religious sites,Civic/social organizations,Non-recreation child/youth services,Elderly/disability services,Other individual/family services,Temporary shelters,Emergency relief services,Vocational rehabilitation services,Day care services,"Commuting - car, truck, van",Commuting - public transportation,Commuting - motorcylce,Commuting - bicycle,Commuting - walking,Commuting - other,Commuting - WFM,Average work commute,Average household size,Median year structure built,Gentrified,Gentrified - Model
6037221900,"(46) Los Angeles, CA",20.535341262817,6.991089820862,51.02717208863,50.726936340332,31.43264389039,29.13399887085,38.88097000123,0.7492597699165,33.018531799316,14.09256362915,13.88455581665,35473.833789898155,23400,241200,143100,562.8836,3620.3012,537.6296,292.9464,168.36,121.7804,308.0988,45.24334656668137,54.75665343331863,47.03720041170416,12.64214,18.9632,6.321068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5682248,0.5682248,0.0,6.488544,94.24712434201382,92.16117189178814,7.522070956874342,91.83813476563,2.213279724121,2.0120723248,0.0,19.0,39.0,2.0,39.0,3.0,0.0,6.321068,18.9632,0.0,0.0,0.0,12.64214,0,1.325858,0.0,0.1894083,0.1894083,0.1894083,0.0,0.0,0.1894083,0.0,41.76847004072136,5.991855730075625,0.0,8.37696335078534,36.18382780686446,0.3490401396160558,7.329842931937172,20,2.62,1978.57299270073,1,0
42101010600,"(66) Philadelphia, PA",7.530120372772,31.541217803955,64.93756103516,40.963855743408,0.39708802104,0.0,96.09529876709,0.0758435949683,0.39708802104,30.44871711731,1.923076868057,14741.89538524831,39600,151200,61200,352.125,105.9505,132.8685,218.0045,177.9405,138.972,438.9825,69.45475638051045,30.54524361948956,16.009280742459396,29.26915,9.756384,0.0,39.02554,9.756384,0.0,0.0,0.0,0.0,9.756384,9.756384,7.427414,2.700878,0.0,99.193924,76.49004620803889,58.44073683496848,26.634926804584964,54.42404174805,23.596939086914,0.0,0.0,15.0,35.0,6.0,38.0,3.0,0.0,48.78192,29.26915,0.0,0.0,0.0,9.756384,0,6.752194,0.0,0.0,0.6752195,0.6752195,0.0,0.0,0.0,1.350439,22.0,66.33333333333333,0.0,0.0,11.666666666666666,0.0,0.0,36,2.2,1945.17877094972,0,1
6037208802,"(46) Los Angeles, CA",12.704308509827,9.727946281433,45.76523208619,36.559978485107,9.67441940308,63.937984466553,73.11627960206,0.5465833544731,63.255813598633,23.903049468994,5.850397109985,35354.47954672068,21600,116100,66600,755.8082999999999,441.2853,731.9808,485.7633,274.4928,146.4597,341.20980000000003,75.12536564981195,24.874634350188053,4.471374843292938,48.98439,12.2461,0.0,0.0,24.49219,0.0,12.2461,0.0,0.0,0.0,0.0,0.3557326,0.3557326,0.0,0.0,143.22674970187833,133.52482787387217,3.1791625906673544,97.61904144288,6.773822784424,3.4200584888,0.0,4.47596883774,12.0851163864,1.79038763046,15.6658916474,1.3427907228,0.0,12.2461,24.49219,0.0,0.0,0.0,0.0,0,2.134396,0.0,0.3557326,0.7114652,1.067198,0.0,0.0,1.067198,1.067198,48.55913978494642,42.66666666666687,0.0,0.3440860215053778,3.5698924731182933,0.9032258064516168,3.956989247311848,35,1.13242015503876,1940.53861003861,0,0
17031460400,"(14) Chicago, IL",12.43669128418,33.471073150635,77.60396575928,16.871831893921,1.54577887058,1.569560050964,97.59809112549,0.0773291066289,3.258026123047,17.843866348267,14.188351631165,16690.394196773705,230400,360900,39600,1226.5985,359.948,509.2255,585.7565,535.717,500.395,486.939,87.01532912533814,12.984670874661855,0.1903616872056908,3.969178,3.969178,0.0,3.969178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.031395,63.18931643582339,57.87061769059706,31.912192471358043,44.85596847535,8.417085647583,6.9095478058,0.0,172.0,267.0,16.0,272.0,14.0,2.0,0.0,3.969178,0.0,0.0,0.0,3.969178,0,1.282282,0.0,0.0,0.0,0.2564563,0.0,0.0,0.0,1.025825,71.75141242937853,24.48210922787194,0.0,0.0,0.4394224733207784,0.0,3.327055869428751,48,2.88,1941.73571428571,0,0
21111004100,"(47) Louisville, KY",3.352769613266,16.015037536621,63.42919158936,23.175182342529,82.73485565186,5.041712284088,15.30649375916,0.3022240996361,5.005440711975,24.962963104248,3.851851701736,6931.573961036531,350100,432000,134100,639.2034,291.0978,469.0062,466.803,356.0922,223.9002,308.7234,71.09,28.910000000000004,0.0,0.0,0.0,2.561677,2.561677,0.0,2.561677,0.0,0.0,0.0,0.0,0.0,0.7397785,0.0,0.0,30.387939,35.75153547064215,33.01108907104147,12.042887573784542,63.51865768433,7.665259838104,0.0,0.0,60.85027694703,95.2012405396,18.64766502381,97.1641464234,14.7218408585,0.98145604134,0.0,5.123353,0.0,0.0,0.0,0.0,0,1.479557,0.7397785,0.0,0.3698893,0.0,0.0,0.0,0.0,0.3698893,93.764087152517,2.2539444027047355,0.5259203606311053,0.0,3.45604808414726,0.0,0.0,22,2.0806868306224,1944.8829787234,0,0
12103024100,"(79) St. Petersburg, FL",4.391298770905,5.651008605957,77.16250610352,5.942337036133,89.29293060303,4.171358585358,7.24944591523,0.1995341032743,10.261507034302,17.797168731689,12.051830291748,6014.809498947711,1131300,468000,171000,740.1433,272.5664,639.7241,728.0392,584.1349,455.9211,1064.2642,67.39,32.61,0.0,13.41555,8.049333,0.0,1.341555,1.341555,0.0,0.0,0.0,0.0,2.683111,0.0,0.0,0.2239781,0.0,44.500214,38.34468236819599,31.30132176418208,21.668032747385208,30.77598190308,18.368545532227,0.3498673737,0.0,105.00835907367,260.0239321422,25.00194663357,241.0216419846,43.0037787594,4.00045803143,0.0,8.049333,4.024666,0.0,2.683111,0.0,0,0.2239781,0.2239781,0.0,0.0,0.0,0.0,0.0,0.0,1.11989,91.36728010796116,5.652559315331082,0.0,0.8763678856203907,0.7451329656688743,7.02432911528849e-05,1.358589482127558,21,1.92023932141502,1964.41845264571,1,0
6037294701,"(46) Los Angeles, CA",13.127753257751,17.441862106323,36.79822158814,40.838989257813,6.54434251786,84.464836120605,90.06116485596,0.2786276042461,49.541282653809,31.468532562256,5.194805145264,4624.273878531484,38700,560700,1146600,1079.0156,352.82,531.6844,443.0192,305.266,218.1348,138.06,88.01559614200698,11.984403857993025,2.6061974143238253,22.17523,2.956697,0.0,8.87009,0.0,0.0,0.0,0.0,0.0,7.391742,1.478348,0.6363955,1.590989,0.0,18.519968,14.622321369170493,13.307161530815687,1.9656699153014596,85.22847747803,8.994197845459,0.0,0.0,16.26177406312,26.7840976715,4.7828745842,27.7406730652,5.739449501,0.0,7.391742,5.913393,1.478348,0.0,1.478348,2.956697,0,1.272791,0.3181977,0.0,0.0,1.590989,0.0,0.3181977,0.3181977,0.0,77.5530839231547,11.122345803842247,0.9100101112234577,0.0,8.392315470171889,1.617795753286145,0.4044489383215363,27,3.24278899082569,1966.90340909091,1,0
39113004100,"(21) Dayton, OH",23.589735031128,35.493606567383,63.02138519288,40.575588226318,6.18689e-06,1.135999560356,97.72798919678,0.0664931461215,0.347110956907,27.500049591064,6.458342552185,3836.62737116884,973800,442800,93600,1045.1362,340.9844,345.1041,412.9207,361.8998,263.9777,399.294,82.3,17.7,0.0,1.210669,1.210669,0.0,1.210669,0.0,0.0,0.0,1.210669,1.210669,0.0,0.0,0.6885367,0.0,0.0,48.292107,19.443436848607053,16.138283852083017,6.779774484339161,57.98949432374,16.998809814453,8.7172651291,0.0,164.00086720422,222.0010632679,30.00034688169,244.0014026086,12.0000377045,1.0,6.053343,2.421337,1.210669,0.0,0.0,1.210669,0,4.819757,1.377073,0.0,0.0,0.0,0.0,0.0,0.0,1.721342,78.49460144917643,14.301119684908029,0.0,4.05423360179546e-06,2.15052858431295,2.795687159606835,2.2580590677622023,25,2.38001877685652,1952.74655888774,1,0
36029001600,"(10) Buffalo, NY",19.475137710571,29.853757858276,54.37247085572,45.893272399902,34.80074310303,1.436515331268,58.24837875367,0.5535253286362,8.665431022644,35.264484405518,1.931150317192,5692.579879019209,301500,679500,904500,1381.5516,411.7464,580.0704,591.292,489.0028,350.4592,510.5828,73.02763315979175,26.982378854625548,0.1201441730076091,5.275793,2.637896,0.0,15.82738,1.318948,0.0,0.0,1.318948,0.0,3.956845,1.318948,2.193584,2.74198,0.0,0.0,35.65116638783346,25.825003250972227,8.071962201018898,68.74361419678,27.561967849731,0.0,0.0,100.0,147.0,22.0,163.0,6.0,0.0,0.0,5.275793,2.637896,0.0,0.0,0.0,1,3.290376,1.37099,0.0,0.0,1.37099,0.0,0.0,0.0,0.8225939,63.05903398926655,26.02862254025045,0.0,1.073345259391771,8.407871198568873,0.9838998211091234,0.4472271914132379,23,2.2,1920.0,0,0
17031670900,"(14) Chicago, IL",26.022302627563,35.490196228027,71.8614730835,25.178827285767,0.42704626918,0.71174377203,98.29181671143,0.0476458147168,0.782918155193,22.358722686768,9.336608886719,11152.2494332423,155700,148500,20700,435.0588,142.9956,196.1256,234.0756,163.0332,135.861,210.8502,85.9,14.1,0.0,0.0,0.0,0.0,7.937664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7202093,0.0,0.0,100.0,52.22904025034082,40.71960274725293,20.71699138138114,49.12280654908,22.036474227905,12.1582374573,0.0,40.99938583375,76.9988403321,18.99971389771,94.9985733033,2.9999549389,0.0,0.0,15.87533,0.0,0.0,0.0,0.0,0,5.761674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160628,43.92764857881152,49.0956072351421,0.0,0.0,0.0,0.0,6.976744186046521,40,2.9099562899924,1942.66037735849,1,0
